70 51 29 3 53 65 15 56 13 66 
87 94 54 34 42 55 81 23 79 74 
69 67 89 27 96 24 79 0 4 38 
28 14 1 94 27 72 74 3 58 96 
51 6 50 100 73 50 95 98 86 13 
21 70 57 30 89 70 82 89 15 92 
3 50 10 25 38 77 15 3 75 58 
98 76 23 29 52 48 26 2 38 76 
43 85 78 53 29 44 45 34 95 30 
86 51 4 67 38 15 34 34 40 72 
20 27 49 4 85 43 79 26 1 41 
91 45 90 100 54 82 95 76 39 78 
5 64 11 30 50 26 80 69 61 2 
4 32 66 76 14 15 50 59 42 62 
10 63 7 20 18 23 52 9 90 56 
42 18 73 64 13 19 52 74 65 15 
11 31 14 22 70 59 24 7 38 26 
28 51 81 32 12 60 3 77 37 99 
19 80 97 30 49 74 85 61 6 5 
21 47 82 83 34 45 28 83 87 65 
89 38 69 99 62 19 33 29 53 79 
30 96 45 93 36 82 90 6 8 8 
78 8 10 57 31 34 57 31 50 30 
61 49 17 3 79 20 19 29 66 49 
4 21 68 27 23 31 73 41 98 77 
37 10 30 4 76 83 37 92 50 4 
56 79 71 37 58 56 35 84 42 2 
88 21 3 38 77 90 9 10 2 36 
53 71 39 57 80 8 82 11 97 44 
9 45 52 53 25 97 7 32 74 41 
48 26 67 30 15 18 9 13 87 96 
55 31 11 31 16 60 85 28 90 45 
26 69 91 11 53 100 77 68 96 50 
44 67 64 15 53 37 93 10 21 0 
63 42 42 16 36 83 53 12 89 94 
96 76 6 55 93 3 46 71 50 9 
59 61 96 60 89 85 20 9 82 89 
14 78 59 30 10 16 20 97 23 35 
57 38 5 100 61 5 87 42 43 43 
60 11 65 68 97 16 90 87 34 84 
32 27 16 51 78 88 88 2 35 12 
73 71 71 90 32 69 8 67 34 7 
24 40 90 54 44 4 58 28 16 10 
98 75 71 29 1 7 22 90 83 18 
43 86 50 31 22 97 12 30 55 83 
35 84 42 33 29 17 61 89 7 39 
75 23 81 57 0 40 3 49 90 92 
95 85 9 84 3 22 89 14 20 42 
12 42 10 10 14 62 34 32 71 98 
29 4 96 53 92 7 86 3 12 69 
22 86 38 95 5 46 99 18 12 20 
8 44 29 47 9 68 31 26 41 86 
90 17 10 61 37 8 42 63 54 37 
78 73 13 55 28 75 23 12 57 62 
8 96 54 58 54 12 95 1 7 92 
37 68 23 10 9 70 71 19 44 51 
80 54 65 4 43 74 8 24 72 48 
60 33 3 2 84 26 30 82 18 39 
70 86 18 62 58 35 88 31 77 35 
56 56 27 69 82 19 86 10 100 19 
95 34 91 37 6 50 49 10 1 41 
4 90 74 16 31 7 39 79 94 98 
36 71 33 55 55 55 56 23 75 54 
60 9 25 95 92 4 39 28 80 28 
93 62 36 74 40 83 46 4 16 87 
61 18 26 89 97 85 78 11 68 78 
22 13 86 88 60 51 18 88 92 61 
44 32 30 15 40 50 62 5 27 30 
17 17 26 68 94 45 1 38 35 94 
61 25 56 50 38 41 72 55 86 24 
82 79 45 91 4 99 60 58 0 25 
61 91 16 55 13 86 69 30 88 2 
26 29 21 46 72 99 86 69 51 100 
99 16 39 90 10 18 67 54 51 6 
87 47 59 82 94 74 32 97 95 14 
86 64 54 45 64 76 34 5 8 64 
53 21 88 51 19 96 61 20 45 52 
19 26 32 26 94 46 63 42 79 2 
83 75 48 15 42 53 94 45 80 77 
78 31 62 39 43 49 3 77 42 74 
44 32 80 89 52 53 93 86 99 62 
24 21 26 20 68 50 34 52 41 63 
80 87 2 13 29 17 1 47 28 17 
34 47 16 34 10 20 39 8 20 50 
9 73 -1
